t_s,num_ghosts,phase,px4_1_est_x,px4_1_est_y,px4_1_est_z,px4_1_gt_x,px4_1_gt_y,px4_1_gt_z,px4_1_error_m,px4_3_est_x,px4_3_est_y,px4_3_est_z,px4_3_gt_x,px4_3_gt_y,px4_3_gt_z,px4_3_error_m,px4_4_est_x,px4_4_est_y,px4_4_est_z,px4_4_gt_x,px4_4_gt_y,px4_4_gt_z,px4_4_error_m
8.963,3,attack,-0.0000,0.0185,-0.3742,-0.0000,0.0000,-0.0130,0.3617,-0.0000,2.0175,-0.3751,-0.0000,2.0000,-0.0130,0.3625,-0.0000,3.0414,-0.3831,-0.0000,3.0000,-0.0130,0.3724
9.063,3,attack,-0.0000,0.0537,-0.3919,-0.0000,0.0000,-0.0130,0.3827,-0.0000,2.0125,-0.3805,-0.0000,2.0000,-0.0130,0.3677,-0.0000,2.9902,-0.3746,-0.0000,3.0000,-0.0130,0.3617
9.163,3,attack,-0.0000,0.0672,-0.3707,-0.0000,0.0000,-0.0130,0.3639,-0.0000,2.0547,-0.3755,-0.0000,2.0000,-0.0130,0.3667,-0.0000,3.0661,-0.3770,-0.0000,3.0000,-0.0130,0.3700
9.266,3,attack,-0.0000,0.1057,-0.3757,-0.0000,0.0000,-0.0130,0.3778,-0.0000,2.0937,-0.3877,-0.0000,2.0000,-0.0130,0.3863,-0.0000,3.1199,-0.3833,-0.0000,3.0000,-0.0130,0.3892
9.374,3,attack,-0.0000,0.0783,-0.3937,-0.0000,0.0000,-0.0130,0.3887,-0.0000,2.1132,-0.3865,-0.0000,2.0000,-0.0130,0.3902,-0.0000,3.1157,-0.3852,-0.0000,3.0000,-0.0130,0.3898
9.463,3,attack,-0.0000,0.0623,-0.3895,-0.0000,0.0000,-0.0130,0.3816,-0.0000,2.0850,-0.3971,-0.0000,2.0000,-0.0130,0.3934,-0.0000,3.0631,-0.3943,-0.0000,3.0000,-0.0130,0.3865
9.573,3,attack,-0.0000,0.0485,-0.3827,-0.0000,0.0000,-0.0130,0.3729,-0.0000,2.0368,-0.3853,-0.0000,2.0000,-0.0130,0.3741,-0.0000,3.0364,-0.4030,-0.0000,3.0000,-0.0130,0.3917
9.663,3,attack,-0.0000,0.0653,-0.3973,-0.0000,0.0000,-0.0130,0.3898,-0.0000,2.0319,-0.4020,-0.0000,2.0000,-0.0130,0.3903,-0.0000,3.0624,-0.4079,-0.0000,3.0000,-0.0130,0.3998
9.764,3,attack,-0.0000,0.0383,-0.4123,-0.0000,0.0000,-0.0130,0.4012,-0.0000,2.0767,-0.4158,-0.0000,2.0000,-0.0130,0.4100,-0.0000,3.0534,-0.4332,-0.0000,3.0000,-0.0130,0.4236
9.863,3,attack,-0.0000,0.0579,-0.3919,-0.0000,0.0000,-0.0130,0.3833,-0.0000,2.0522,-0.4080,-0.0000,2.0000,-0.0130,0.3984,-0.0000,3.0425,-0.4142,-0.0000,3.0000,-0.0130,0.4034
9.964,3,attack,-0.0000,0.0367,-0.4179,-0.0000,0.0000,-0.0130,0.4066,-0.0000,2.0332,-0.4048,-0.0000,2.0000,-0.0130,0.3932,-0.0000,3.0455,-0.3978,-0.0000,3.0000,-0.0130,0.3875
10.063,3,attack,-0.0000,0.0551,-0.4273,-0.0000,0.0000,-0.0130,0.4180,-0.0000,2.0501,-0.4155,-0.0000,2.0000,-0.0130,0.4056,-0.0000,3.0657,-0.4096,-0.0000,3.0000,-0.0130,0.4020
