timestamp,total_written_kb,write_rate_kb_s,dropouts,message_gaps,buffer_used_bytes,buffer_size_bytes,type,backend,is_logging,num_messages
1256592000,9676.85,8.540818,0,0,1593,1024000,0,3,1,194
1257592000,9685.218,8.540666,0,0,1693,1024000,0,3,1,194
1258592000,9693.38,8.540333,0,0,1961,1024000,0,3,1,194
1259592000,9702.107,8.540497,0,0,1593,1024000,0,3,1,194
1260592000,9708.658,8.538748,0,0,3511,1024000,0,3,1,194
1261592000,9717.026,8.538598,0,0,3611,1024000,0,3,1,194
1262592000,9725.45,8.538497,0,0,3591,1024000,0,3,1,194
1263592000,9733.916,8.538432,0,0,3591,1024000,0,3,1,194
1264592000,9742.34,8.538333,0,0,3591,1024000,0,3,1,194
1265592000,9750.806,8.538269,0,0,3591,1024000,0,3,1,194
1266592000,9759.2295,8.53817,0,0,3491,1024000,0,3,1,194
1267592000,9767.695,8.538105,0,0,3491,1024000,0,3,1,194
1268592000,9776.021,8.537921,0,0,3580,1024000,0,3,1,194
1269592000,9784.487,8.537857,0,0,3555,1024000,0,3,1,194
1270592000,9792.911,8.537759,0,0,3555,1024000,0,3,1,194
1271592000,9801.366,8.537686,0,0,3566,1024000,0,3,1,194
1272592000,9809.79,8.537587,0,0,3566,1024000,0,3,1,194
1273592000,9818.256,8.537524,0,0,3466,1024000,0,3,1,194
1274592000,9826.68,8.537426,0,0,3466,1024000,0,3,1,194
1275592000,9835.028,8.537262,0,0,3586,1024000,0,3,1,194
1276592000,9843.452,8.537164,0,0,3586,1024000,0,3,1,194
1277592000,9851.918,8.537102,0,0,3586,1024000,0,3,1,194
1278592000,9860.342,8.5370035,0,0,3586,1024000,0,3,1,194
1279592000,9868.808,8.536942,0,0,3486,1024000,0,3,1,194
1280592000,9877.231,8.536845,0,0,3486,1024000,0,3,1,194
1281592000,9885.6,8.536698,0,0,3150,1024000,0,3,1,194
1282592000,9894.023,8.536601,0,0,3150,1024000,0,3,1,194
1283592000,9902.489,8.53654,0,0,3150,1024000,0,3,1,194
1284592000,9910.902,8.536434,0,0,3161,1024000,0,3,1,194
1285592000,9919.344,8.536352,0,0,3186,1024000,0,3,1,194
1286592000,9927.768,8.536256,0,0,3086,1024000,0,3,1,194
