timestamp,defer_failsafes_timeout_s,disable_auto_disarm,defer_failsafes,disable_auto_set_home,source_type,source_id
888616000,0,0,0,0,0,0
889120000,0,0,0,0,0,0
889624000,0,0,0,0,0,0
890128000,0,0,0,0,0,0
890632000,0,0,0,0,0,0
891136000,0,0,0,0,0,0
891640000,0,0,0,0,0,0
892144000,0,0,0,0,0,0
892648000,0,0,0,0,0,0
893152000,0,0,0,0,0,0
893656000,0,0,0,0,0,0
894160000,0,0,0,0,0,0
894664000,0,0,0,0,0,0
895168000,0,0,0,0,0,0
895672000,0,0,0,0,0,0
896176000,0,0,0,0,0,0
896680000,0,0,0,0,0,0
897184000,0,0,0,0,0,0
897688000,0,0,0,0,0,0
898192000,0,0,0,0,0,0
898696000,0,0,0,0,0,0
899200000,0,0,0,0,0,0
899704000,0,0,0,0,0,0
900208000,0,0,0,0,0,0
900712000,0,0,0,0,0,0
901216000,0,0,0,0,0,0
901720000,0,0,0,0,0,0
902224000,0,0,0,0,0,0
902728000,0,0,0,0,0,0
903232000,0,0,0,0,0,0
903736000,0,0,0,0,0,0
904240000,0,0,0,0,0,0
904744000,0,0,0,0,0,0
905248000,0,0,0,0,0,0
905752000,0,0,0,0,0,0
906256000,0,0,0,0,0,0
906760000,0,0,0,0,0,0
907264000,0,0,0,0,0,0
907768000,0,0,0,0,0,0
908272000,0,0,0,0,0,0
908776000,0,0,0,0,0,0
909280000,0,0,0,0,0,0
909784000,0,0,0,0,0,0
910288000,0,0,0,0,0,0
910792000,0,0,0,0,0,0
911296000,0,0,0,0,0,0
911800000,0,0,0,0,0,0
912304000,0,0,0,0,0,0
912808000,0,0,0,0,0,0
913312000,0,0,0,0,0,0
913816000,0,0,0,0,0,0
914320000,0,0,0,0,0,0
914824000,0,0,0,0,0,0
915328000,0,0,0,0,0,0
915832000,0,0,0,0,0,0
916336000,0,0,0,0,0,0
916840000,0,0,0,0,0,0
917344000,0,0,0,0,0,0
917848000,0,0,0,0,0,0
918352000,0,0,0,0,0,0
918856000,0,0,0,0,0,0
919360000,0,0,0,0,0,0
919864000,0,0,0,0,0,0
920368000,0,0,0,0,0,0
920872000,0,0,0,0,0,0
921376000,0,0,0,0,0,0
921880000,0,0,0,0,0,0
922384000,0,0,0,0,0,0
922888000,0,0,0,0,0,0
923392000,0,0,0,0,0,0
923896000,0,0,0,0,0,0
924400000,0,0,0,0,0,0
924904000,0,0,0,0,0,0
925408000,0,0,0,0,0,0
925912000,0,0,0,0,0,0
926416000,0,0,0,0,0,0
926920000,0,0,0,0,0,0
927424000,0,0,0,0,0,0
927928000,0,0,0,0,0,0
928432000,0,0,0,0,0,0
928936000,0,0,0,0,0,0
929440000,0,0,0,0,0,0
929944000,0,0,0,0,0,0
930448000,0,0,0,0,0,0
930952000,0,0,0,0,0,0
931456000,0,0,0,0,0,0
931960000,0,0,0,0,0,0
932464000,0,0,0,0,0,0
932968000,0,0,0,0,0,0
933472000,0,0,0,0,0,0
933976000,0,0,0,0,0,0
934480000,0,0,0,0,0,0
934984000,0,0,0,0,0,0
935488000,0,0,0,0,0,0
935992000,0,0,0,0,0,0
936496000,0,0,0,0,0,0
937000000,0,0,0,0,0,0
937504000,0,0,0,0,0,0
938008000,0,0,0,0,0,0
938512000,0,0,0,0,0,0
939016000,0,0,0,0,0,0
939520000,0,0,0,0,0,0
940024000,0,0,0,0,0,0
940528000,0,0,0,0,0,0
941032000,0,0,0,0,0,0
941536000,0,0,0,0,0,0
942040000,0,0,0,0,0,0
942544000,0,0,0,0,0,0
943048000,0,0,0,0,0,0
943552000,0,0,0,0,0,0
944056000,0,0,0,0,0,0
944560000,0,0,0,0,0,0
945064000,0,0,0,0,0,0
945568000,0,0,0,0,0,0
946072000,0,0,0,0,0,0
946576000,0,0,0,0,0,0
947080000,0,0,0,0,0,0
947584000,0,0,0,0,0,0
948088000,0,0,0,0,0,0
948592000,0,0,0,0,0,0
949096000,0,0,0,0,0,0
949600000,0,0,0,0,0,0
950104000,0,0,0,0,0,0
950608000,0,0,0,0,0,0
951112000,0,0,0,0,0,0
951616000,0,0,0,0,0,0
952120000,0,0,0,0,0,0
952624000,0,0,0,0,0,0
953128000,0,0,0,0,0,0
953632000,0,0,0,0,0,0
954136000,0,0,0,0,0,0
954640000,0,0,0,0,0,0
955144000,0,0,0,0,0,0
955648000,0,0,0,0,0,0
956152000,0,0,0,0,0,0
956656000,0,0,0,0,0,0
957160000,0,0,0,0,0,0
957664000,0,0,0,0,0,0
958168000,0,0,0,0,0,0
958672000,0,0,0,0,0,0
959176000,0,0,0,0,0,0
959680000,0,0,0,0,0,0
960184000,0,0,0,0,0,0
960688000,0,0,0,0,0,0
961192000,0,0,0,0,0,0
961696000,0,0,0,0,0,0
962200000,0,0,0,0,0,0
962704000,0,0,0,0,0,0
963208000,0,0,0,0,0,0
963712000,0,0,0,0,0,0
964216000,0,0,0,0,0,0
964720000,0,0,0,0,0,0
965224000,0,0,0,0,0,0
965728000,0,0,0,0,0,0
966232000,0,0,0,0,0,0
966736000,0,0,0,0,0,0
967240000,0,0,0,0,0,0
967744000,0,0,0,0,0,0
968248000,0,0,0,0,0,0
968752000,0,0,0,0,0,0
969256000,0,0,0,0,0,0
969760000,0,0,0,0,0,0
970264000,0,0,0,0,0,0
970768000,0,0,0,0,0,0
971272000,0,0,0,0,0,0
971776000,0,0,0,0,0,0
972280000,0,0,0,0,0,0
972784000,0,0,0,0,0,0
973288000,0,0,0,0,0,0
973792000,0,0,0,0,0,0
974296000,0,0,0,0,0,0
974800000,0,0,0,0,0,0
975304000,0,0,0,0,0,0
975808000,0,0,0,0,0,0
976312000,0,0,0,0,0,0
976816000,0,0,0,0,0,0
977320000,0,0,0,0,0,0
977824000,0,0,0,0,0,0
978328000,0,0,0,0,0,0
978832000,0,0,0,0,0,0
979336000,0,0,0,0,0,0
979840000,0,0,0,0,0,0
980344000,0,0,0,0,0,0
980848000,0,0,0,0,0,0
981352000,0,0,0,0,0,0
981856000,0,0,0,0,0,0
982360000,0,0,0,0,0,0
982864000,0,0,0,0,0,0
983368000,0,0,0,0,0,0
983872000,0,0,0,0,0,0
984376000,0,0,0,0,0,0
984880000,0,0,0,0,0,0
985384000,0,0,0,0,0,0
985888000,0,0,0,0,0,0
986392000,0,0,0,0,0,0
986896000,0,0,0,0,0,0
987400000,0,0,0,0,0,0
987904000,0,0,0,0,0,0
988408000,0,0,0,0,0,0
988912000,0,0,0,0,0,0
989416000,0,0,0,0,0,0
989920000,0,0,0,0,0,0
990424000,0,0,0,0,0,0
990928000,0,0,0,0,0,0
991432000,0,0,0,0,0,0
991936000,0,0,0,0,0,0
992440000,0,0,0,0,0,0
992944000,0,0,0,0,0,0
993448000,0,0,0,0,0,0
993952000,0,0,0,0,0,0
994464000,0,0,0,0,0,0
994972000,0,0,0,0,0,0
995476000,0,0,0,0,0,0
995980000,0,0,0,0,0,0
996484000,0,0,0,0,0,0
996988000,0,0,0,0,0,0
997492000,0,0,0,0,0,0
997996000,0,0,0,0,0,0
998500000,0,0,0,0,0,0
999004000,0,0,0,0,0,0
999508000,0,0,0,0,0,0
1000012000,0,0,0,0,0,0
1000516000,0,0,0,0,0,0
1001020000,0,0,0,0,0,0
1001524000,0,0,0,0,0,0
1002028000,0,0,0,0,0,0
1002532000,0,0,0,0,0,0
1003036000,0,0,0,0,0,0
1003540000,0,0,0,0,0,0
1004044000,0,0,0,0,0,0
1004548000,0,0,0,0,0,0
1005052000,0,0,0,0,0,0
1005556000,0,0,0,0,0,0
1006060000,0,0,0,0,0,0
1006564000,0,0,0,0,0,0
1007068000,0,0,0,0,0,0
1007572000,0,0,0,0,0,0
1008076000,0,0,0,0,0,0
1008580000,0,0,0,0,0,0
1009084000,0,0,0,0,0,0
1009588000,0,0,0,0,0,0
1010092000,0,0,0,0,0,0
1010596000,0,0,0,0,0,0
1011100000,0,0,0,0,0,0
1011604000,0,0,0,0,0,0
1012108000,0,0,0,0,0,0
1012612000,0,0,0,0,0,0
1013116000,0,0,0,0,0,0
1013620000,0,0,0,0,0,0
1014124000,0,0,0,0,0,0
1014628000,0,0,0,0,0,0
1015132000,0,0,0,0,0,0
1015636000,0,0,0,0,0,0
1016140000,0,0,0,0,0,0
1016644000,0,0,0,0,0,0
1017148000,0,0,0,0,0,0
1017652000,0,0,0,0,0,0
1018156000,0,0,0,0,0,0
1018660000,0,0,0,0,0,0
1019164000,0,0,0,0,0,0
1019668000,0,0,0,0,0,0
1020172000,0,0,0,0,0,0
1020676000,0,0,0,0,0,0
1021180000,0,0,0,0,0,0
1021684000,0,0,0,0,0,0
1022188000,0,0,0,0,0,0
1022692000,0,0,0,0,0,0
1023196000,0,0,0,0,0,0
1023700000,0,0,0,0,0,0
1024204000,0,0,0,0,0,0
1024708000,0,0,0,0,0,0
1025212000,0,0,0,0,0,0
1025716000,0,0,0,0,0,0
1026220000,0,0,0,0,0,0
1026724000,0,0,0,0,0,0
1027228000,0,0,0,0,0,0
1027732000,0,0,0,0,0,0
1028236000,0,0,0,0,0,0
1028740000,0,0,0,0,0,0
1029244000,0,0,0,0,0,0
1029748000,0,0,0,0,0,0
1030252000,0,0,0,0,0,0
1030756000,0,0,0,0,0,0
1031260000,0,0,0,0,0,0
1031764000,0,0,0,0,0,0
1032268000,0,0,0,0,0,0
1032772000,0,0,0,0,0,0
1033276000,0,0,0,0,0,0
1033780000,0,0,0,0,0,0
1034284000,0,0,0,0,0,0
1034788000,0,0,0,0,0,0
1035292000,0,0,0,0,0,0
1035796000,0,0,0,0,0,0
1036300000,0,0,0,0,0,0
1036804000,0,0,0,0,0,0
1037308000,0,0,0,0,0,0
1037812000,0,0,0,0,0,0
1038316000,0,0,0,0,0,0
1038820000,0,0,0,0,0,0
1039324000,0,0,0,0,0,0
1039828000,0,0,0,0,0,0
1040332000,0,0,0,0,0,0
1040836000,0,0,0,0,0,0
1041340000,0,0,0,0,0,0
1041844000,0,0,0,0,0,0
1042348000,0,0,0,0,0,0
1042852000,0,0,0,0,0,0
1043356000,0,0,0,0,0,0
1043860000,0,0,0,0,0,0
1044364000,0,0,0,0,0,0
1044868000,0,0,0,0,0,0
1045372000,0,0,0,0,0,0
1045876000,0,0,0,0,0,0
1046380000,0,0,0,0,0,0
1046884000,0,0,0,0,0,0
1047388000,0,0,0,0,0,0
1047892000,0,0,0,0,0,0
1048396000,0,0,0,0,0,0
1048900000,0,0,0,0,0,0
1049404000,0,0,0,0,0,0
1049908000,0,0,0,0,0,0
1050412000,0,0,0,0,0,0
1050916000,0,0,0,0,0,0
1051420000,0,0,0,0,0,0
1051924000,0,0,0,0,0,0
1052428000,0,0,0,0,0,0
1052932000,0,0,0,0,0,0
1053436000,0,0,0,0,0,0
1053940000,0,0,0,0,0,0
1054444000,0,0,0,0,0,0
1054948000,0,0,0,0,0,0
1055452000,0,0,0,0,0,0
1055956000,0,0,0,0,0,0
1056460000,0,0,0,0,0,0
1056964000,0,0,0,0,0,0
1057468000,0,0,0,0,0,0
1057972000,0,0,0,0,0,0
1058476000,0,0,0,0,0,0
1058980000,0,0,0,0,0,0
1059484000,0,0,0,0,0,0
1059988000,0,0,0,0,0,0
1060492000,0,0,0,0,0,0
1060996000,0,0,0,0,0,0
1061500000,0,0,0,0,0,0
1062004000,0,0,0,0,0,0
1062508000,0,0,0,0,0,0
1063012000,0,0,0,0,0,0
1063516000,0,0,0,0,0,0
1064020000,0,0,0,0,0,0
1064524000,0,0,0,0,0,0
