timestamp,safe_points_id,is_evaluation_pending,has_vtol_approach,rtl_type,safe_point_index
809344000,0,0,0,1,255
811360000,0,0,0,1,255
813376000,0,0,0,1,255
815392000,0,0,0,1,255
817408000,0,0,0,1,255
819424000,0,0,0,1,255
821440000,0,0,0,1,255
823456000,0,0,0,1,255
825472000,0,0,0,1,255
827488000,0,0,0,1,255
829504000,0,0,0,1,255
831520000,0,0,0,1,255
833536000,0,0,0,1,255
835552000,0,0,0,1,255
837568000,0,0,0,1,255
839584000,0,0,0,1,255
841600000,0,0,0,1,255
843616000,0,0,0,1,255
845632000,0,0,0,1,255
847648000,0,0,0,1,255
849664000,0,0,0,1,255
851680000,0,0,0,1,255
853696000,0,0,0,1,255
855712000,0,0,0,1,255
857728000,0,0,0,1,255
859744000,0,0,0,1,255
861760000,0,0,0,1,255
863776000,0,0,0,1,255
865792000,0,0,0,1,255
867808000,0,0,0,1,255
869824000,0,0,0,1,255
871840000,0,0,0,1,255
873856000,0,0,0,1,255
875872000,0,0,0,1,255
877888000,0,0,0,1,255
879904000,0,0,0,1,255
881920000,0,0,0,1,255
883936000,0,0,0,1,255
885952000,0,0,0,1,255
887968000,0,0,0,1,255
889984000,0,0,0,1,255
892000000,0,0,0,1,255
894016000,0,0,0,1,255
896032000,0,0,0,1,255
898048000,0,0,0,1,255
900064000,0,0,0,1,255
902080000,0,0,0,1,255
904096000,0,0,0,1,255
906112000,0,0,0,1,255
908128000,0,0,0,1,255
910144000,0,0,0,1,255
912160000,0,0,0,1,255
914176000,0,0,0,1,255
916192000,0,0,0,1,255
918208000,0,0,0,1,255
920224000,0,0,0,1,255
922240000,0,0,0,1,255
924256000,0,0,0,1,255
926272000,0,0,0,1,255
928288000,0,0,0,1,255
930304000,0,0,0,1,255
932320000,0,0,0,1,255
934336000,0,0,0,1,255
936352000,0,0,0,1,255
938368000,0,0,0,1,255
940384000,0,0,0,1,255
942400000,0,0,0,1,255
944416000,0,0,0,1,255
946432000,0,0,0,1,255
948448000,0,0,0,1,255
950464000,0,0,0,1,255
952480000,0,0,0,1,255
954496000,0,0,0,1,255
956512000,0,0,0,1,255
958528000,0,0,0,1,255
960544000,0,0,0,1,255
962560000,0,0,0,1,255
964576000,0,0,0,1,255
966592000,0,0,0,1,255
968608000,0,0,0,1,255
970624000,0,0,0,1,255
972640000,0,0,0,1,255
974656000,0,0,0,1,255
976672000,0,0,0,1,255
978688000,0,0,0,1,255
980704000,0,0,0,1,255
982720000,0,0,0,1,255
984736000,0,0,0,1,255
986752000,0,0,0,1,255
988768000,0,0,0,1,255
990784000,0,0,0,1,255
992800000,0,0,0,1,255
994816000,0,0,0,1,255
996832000,0,0,0,1,255
998848000,0,0,0,1,255
1000864000,0,0,0,1,255
1002880000,0,0,0,1,255
1004896000,0,0,0,1,255
1006912000,0,0,0,1,255
1008928000,0,0,0,1,255
1010944000,0,0,0,1,255
1012960000,0,0,0,1,255
1014976000,0,0,0,1,255
1016992000,0,0,0,1,255
1019008000,0,0,0,1,255
1021024000,0,0,0,1,255
1023040000,0,0,0,1,255
1025056000,0,0,0,1,255
1027072000,0,0,0,1,255
1029088000,0,0,0,1,255
1031104000,0,0,0,1,255
1033120000,0,0,0,1,255
1035136000,0,0,0,1,255
1037152000,0,0,0,1,255
1039168000,0,0,0,1,255
1041184000,0,0,0,1,255
1043200000,0,0,0,1,255
1045216000,0,0,0,1,255
1047232000,0,0,0,1,255
